INSTNM,CITY,STABBR,ZIP
Quinebaug Valley Community College,Danielson,CT,06239-1436
Quinnipiac University,Hamden,CT,6518
Sacred Heart University,Fairfield,CT,06825-1000
University of Saint Joseph,West Hartford,CT,6117
Gateway Community College,New Haven,CT,6510
Southern Connecticut State University,New Haven,CT,06515-1355
Stone Academy-West Haven,West Haven,CT,6516
Trinity College,Hartford,CT,06106-3100
Tunxis Community College,Farmington,CT,06032-3187
United States Coast Guard Academy,New London,CT,06320-4195
Wesleyan University,Middletown,CT,6459
Western Connecticut State University,Danbury,CT,06810-6826
Yale University,New Haven,CT,6520
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958
Dawn Career Institute LLC,Newark,DE,19702
Delaware Technical Community College-Terry,Dover,DE,19901
Delaware State University,Dover,DE,19901
University of Delaware,Newark,DE,19716
Goldey-Beacom College,Wilmington,DE,19808
Schilling-Douglas School of Hair Design LLC,Newark,DE,19711
Wesley College,Dover,DE,19901-3875
Wilmington University,New Castle,DE,19720
American University,Washington,DC,20016-8001
The Catholic University of America,Washington,DC,20064
University of the District of Columbia,Washington,DC,20008
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,20017-1585
Gallaudet University,Washington,DC,20002-3695
George Washington University,Washington,DC,20052
Georgetown University,Washington,DC,20057-0001
Howard University,Washington,DC,20059
Strayer University-District of Columbia,Washington,DC,20005
National Conservatory of Dramatic Arts,Washington,DC,20007
Trinity Washington University,Washington,DC,20017-1094
Wesley Theological Seminary,Washington,DC,20016-5690
Atlantic Technical College,Coconut Creek,FL,33063-3902
The Baptist College of Florida,Graceville,FL,32440
Barry University,Miami,FL,33161-6695
Bethune-Cookman University,Daytona Beach,FL,32114-3099
Lynn University,Boca Raton,FL,33431-5598
North Florida Technical College,Starke,FL,32091
Eastern Florida State College,Melbourne,FL,32935
Broward College,Fort Lauderdale,FL,33301
Albizu University-Miami,Miami,FL,33172-2209
College of Central Florida,Ocala,FL,34474
Johnson University Florida,Kissimmee,FL,34744
University of Central Florida,Orlando,FL,32816
Charlotte Technical College,Port Charlotte,FL,33948-3399
Chipola College,Marianna,FL,32446-2053
Lorenzo Walker Technical College,Naples,FL,34104-4405
Daytona State College,Daytona Beach,FL,32114
South University-West Palm Beach,Royal Palm Beach,FL,33411
Eckerd College,Saint Petersburg,FL,33711-4700
Florida SouthWestern State College,Fort Myers,FL,33919
Edward Waters University,Jacksonville,FL,32209
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900
Florida Agricultural and Mechanical University,Tallahassee,FL,32307
Florida Atlantic University,Boca Raton,FL,33431-0991
Florida State College at Jacksonville,Jacksonville,FL,32202
Flagler College,Saint Augustine,FL,32084
Florida College,Temple Terrace,FL,33617
Concorde Career Institute-Jacksonville,Jacksonville,FL,32256-6905
Concorde Career Institute-Miramar,Miramar,FL,33025
Concorde Career Institute-Tampa,Tampa,FL,33607-4127
AdventHealth University,Orlando,FL,32803
Florida Institute of Technology,Melbourne,FL,32901-6975
Florida Institute of Ultrasound Inc,Pensacola,FL,32514
Florida International University,Miami,FL,33199
The College of the Florida Keys,Key West,FL,33040
Florida Memorial University,Miami Gardens,FL,33054-6199
Florida Career College-Miami,Miami,FL,33174-2521
Florida School of Massage,Gainesville,FL,32608-5419
Florida Southern College,Lakeland,FL,33801-5698
Florida State University,Tallahassee,FL,32306-1037
Florida Technical College,Orlando,FL,32826
University of Florida,Gainesville,FL,32611
Fort Pierce Beauty Academy,Fort Pierce,FL,34982-6333
Full Sail University,Winter Park,FL,32792-7429
George Stone Technical College,Pensacola,FL,32526-8922
George T Baker Aviation Technical College,Miami,FL,33142
Gulf Coast State College,Panama City,FL,32401
Hillsborough Community College,Tampa,FL,33606-3584
Hobe Sound Bible College,Hobe Sound,FL,33455-1065
Hollywood Institute of Beauty Careers,Hollywood,FL,33023
Cortiva Institute,St. Petersburg,FL,33713
Indian River State College,Fort Pierce,FL,34981-5596
International Academy,South Daytona,FL,32119
AI Miami International University of Art and Design,Miami,FL,33132-1418
Jacksonville University,Jacksonville,FL,32211-3394
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,33309
La Belle Beauty School,Hialeah,FL,33012
Florida Gateway College,Lake City,FL,32025-2007
Lake Technical College,Eustis,FL,32726
Lake-Sumter State College,Leesburg,FL,34788-8751
Fort Myers Technical College,Fort Myers,FL,33916-2204
Lively Technical College,Tallahassee,FL,32304-2895
Lindsey Hopkins Technical College,Miami,FL,33127
Loraines Academy & Spa,Saint Petersburg,FL,33710
Luther Rice College & Seminary,Lithonia,GA,30038-9869
State College of Florida-Manatee-Sarasota,Bradenton,FL,34207
Manatee Technical College,Bradenton,FL,34203
Traviss Technical College,Lakeland,FL,33803
Merryfield School of Pet Grooming,Oakland Park,FL,33334-4925
Trinity International University-Florida,Miami,FL,33186
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,33014
Miami Dade College,Miami,FL,33132-2204
University of Miami,Coral Gables,FL,33146
Orange Technical College-Mid Florida Campus,Orlando,FL,32809
Paul Mitchell the School-Jacksonville,Jacksonville,FL,32246
North Florida College,Madison,FL,32340
University of North Florida,Jacksonville,FL,32224-7699
Nova Southeastern University,Fort Lauderdale,FL,33314-7796
Northwest Florida State College,Niceville,FL,32578-1295
Orange Technical College,Orlando,FL,32801-1197
Palm Beach Atlantic University,West Palm Beach,FL,33401
Palm Beach State College,Lake Worth,FL,33461-4796
Pasco-Hernando State College,New Port Richey,FL,34654-5199
Pensacola State College,Pensacola,FL,32504-8998
Pinellas Technical College-Clearwater,Clearwater,FL,33760-2140
Polk State College,Winter Haven,FL,33881-4299
Radford M Locklin Technical College,Milton,FL,32570-8188
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,33436-4899
Ridge Technical College,Winter Haven,FL,33881-9518
Ringling College of Art and Design,Sarasota,FL,34234-5895
Robert Morgan Educational Center and Technical College,Miami,FL,33177-2427
Rollins College,Winter Park,FL,32789-4499
First Coast Technical College,Saint Augustine,FL,32084-1919
Saint Leo University,Saint Leo,FL,33574-6665
St Petersburg College,St. Petersburg,FL,33701
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,33711-2209
Santa Fe College,Gainesville,FL,32606-6210
Suncoast Technical College,Sarasota,FL,34233-1798
Seminole State College of Florida,Sanford,FL,32773-6199
Sheridan Technical College,Hollywood,FL,33021
St. John Vianney College Seminary,Miami,FL,33165-3244
Saint Johns River State College,Palatka,FL,32177
South Florida State College,Avon Park,FL,33825-9356
University of South Florida,Tampa,FL,33620-9951
St. Thomas University,Miami Gardens,FL,33054-6459
Stetson University,DeLand,FL,32723
Southeastern University,Lakeland,FL,33801-6034
Bene's Career Academy,New Port Richey,FL,34652
Riveroak Technical College,Live Oak,FL,32064
Tallahassee Community College,Tallahassee,FL,32304-2895
Talmudic College of Florida,Miami Beach,FL,33140-3854
Altierus Career College-Tampa,Tampa,FL,33614-5801
The University of Tampa,Tampa,FL,33606-1490
Big Bend Technical College,Perry,FL,32348
Tom P. Haney Technical College,Panama City,FL,32405
Trinity Baptist College,Jacksonville,FL,32221
Trinity College of Florida,Trinity,FL,34655-4401
Valencia College,Orlando,FL,32835
Warner University,Lake Wales,FL,33859-8797
Florida Panhandle Technical College,Chipley,FL,32428-1618
Webber International University,Babson Park,FL,33827-0096
Rasmussen University-Florida,Ocala,FL,34474-6226
The University of West Florida,Pensacola,FL,32514-5750
Orange Technical College-Westside Campus,Winter Garden,FL,34787-3733
William T McFatter Technical College,Davie,FL,33317
Orange Technical College-East Campus,Winter Park,FL,32789-3049
Withlacoochee Technical College,Inverness,FL,34450-4301
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601
Agnes Scott College,Decatur,GA,30030-3770
Interactive College of Technology-Chamblee,Chamblee,GA,30341
Interactive College of Technology-Morrow,Morrow,GA,30260
Albany Technical College,Albany,GA,31701
Albany State University,Albany,GA,31705
Andrew College,Cuthbert,GA,39840-5550
The Art Institute of Atlanta,Atlanta,GA,30328-1635
Georgia Career Institute,Conyers,GA,30094
Atlanta Technical College,Atlanta,GA,30310-4446
Point University,West Point,GA,31833
Atlanta Metropolitan State College,Atlanta,GA,30310-4448
Atlanta's John Marshall Law School,Atlanta,GA,30303
Atlanta School of Massage,Atlanta,GA,30338
Clark Atlanta University,Atlanta,GA,30314-4391
Augusta Technical College,Augusta,GA,30906
Berry College,Mount Berry,GA,30149
Beulah Heights University,Atlanta,GA,30316
Brenau University,Gainesville,GA,30501-3668
Brewton-Parker College,Mount Vernon,GA,30445
Brown College of Court Reporting,Atlanta,GA,30309
College of Coastal Georgia,Brunswick,GA,31520-3644
West Georgia Technical College,Waco,GA,30182
Clayton  State University,Morrow,GA,30260-0285
Columbia Theological Seminary,Decatur,GA,30030-4118
Columbus Technical College,Columbus,GA,31904-6572
Columbus State University,Columbus,GA,31907-5645
Georgia Northwestern Technical College,Rome,GA,30161
Covenant College,Lookout Mountain,GA,30750-4164
Dalton State College,Dalton,GA,30720-3797
Pro Way Hair School,Stone Mountain,GA,30083-3254
South University-Savannah,Savannah,GA,31406
East Georgia State College,Swainsboro,GA,30401
Emmanuel College,Franklin Springs,GA,30639
Emory University,Atlanta,GA,30322
Georgia Highlands College,Rome,GA,30161-3897
Fort Valley State University,Fort Valley,GA,31030-4313
Grady Health System Professional Schools,Atlanta,GA,30303-3050
Georgia Institute of Technology-Main Campus,Atlanta,GA,30332-0530
Georgia Southwestern State University,Americus,GA,31709-4693
Georgia College & State University,Milledgeville,GA,31061
Georgia Southern University,Statesboro,GA,30460-8126
Georgia State University,Atlanta,GA,30303-3083
University of Georgia,Athens,GA,30602
Gordon State College,Barnesville,GA,30204
Southern Crescent Technical College,Griffin,GA,30223-2042
Gupton Jones College of Funeral Service,Decatur,GA,30035-4022
Gwinnett College-Lilburn,Lilburn,GA,30047-3447
Gwinnett Technical College,Lawrenceville,GA,30043-5702
Interdenominational Theological Center,Atlanta,GA,30314-4143
LaGrange College,Lagrange,GA,30240-2999
Lanier Technical College,Gainesville,GA,30507
Life University,Marietta,GA,30060
Chattahoochee Technical College,Marietta,GA,30060
Herzing University-Atlanta,Atlanta,GA,30303
Mercer University,Macon,GA,31207
Morehouse College,Atlanta,GA,30314
Morehouse School of Medicine,Atlanta,GA,30310
North Georgia Technical College,Clarkesville,GA,30523
Oglethorpe University,Atlanta,GA,30319-2797
Paine College,Augusta,GA,30901-3182
Piedmont University,Demorest,GA,30535-0010
Miami Ad School-Atlanta,Atlanta,GA,30326
Reinhardt University,Waleska,GA,30183-2981
Savannah Technical College,Savannah,GA,31405-5594
Savannah College of Art and Design,Savannah,GA,31402-3146
Savannah State University,Savannah,GA,31404-5310
Shorter University,Rome,GA,30165
South Georgia Technical College,Americus,GA,31709
The Creative Circus,Atlanta,GA,30324
Spelman College,Atlanta,GA,30314-4399
Thomas University,Thomasville,GA,31792
Toccoa Falls College,Toccoa Falls,GA,30598
Truett McConnell University,Cleveland,GA,30528
Wiregrass Georgia Technical College,Valdosta,GA,31602-0929
Valdosta State University,Valdosta,GA,31698
Wesleyan College,Macon,GA,31210-4462
University of West Georgia,Carrollton,GA,30118-0001
Young Harris College,Young Harris,GA,30582
Chaminade University of Honolulu,Honolulu,HI,96816-1578
University of Hawaii at Hilo,Hilo,HI,96720-4091
University of Hawaii at Manoa,Honolulu,HI,96822-2217
Hawaii Institute of Hair Design,Honolulu,HI,96817-5195
Hawaii Pacific University,Honolulu,HI,96813
Honolulu Community College,Honolulu,HI,96817-4505
Kapiolani Community College,Honolulu,HI,96816-4421
Kauai Community College,Lihue,HI,96766-9500
Leeward Community College,Pearl City,HI,96782-3366
University of Hawaii Maui College,Kahului,HI,96732-1617
University of Hawaii-West Oahu,Kapolei,HI,96707-4507
Windward Community College,Kaneohe,HI,96744-3528
Carrington College-Boise,Boise,ID,83704-8742
Boise Bible College,Boise,ID,83714-1220
Boise State University,Boise,ID,83725
College of Eastern Idaho,Idaho Falls,ID,83404-5788
Idaho State University,Pocatello,ID,83209
University of Idaho,Moscow,ID,83844-2282
The College of Idaho,Caldwell,ID,83605-4432
Lewis-Clark State College,Lewiston,ID,83501-2698
Aveda Institute-Twin Falls,Twin Falls,ID,83301
Mr Leon's School of Hair Design-Moscow,Moscow,ID,83843
North Idaho College,Coeur d'Alene,ID,83814-2199
Northwest Nazarene University,Nampa,ID,83686-5897
Nathan Layne Institute of Cosmetology,Chubbuck,ID,83202
Brigham Young University-Idaho,Rexburg,ID,83460-1690
College of Southern Idaho,Twin Falls,ID,83301
Adler University,Chicago,IL,60602
American Academy of Art College,Chicago,IL,60604-4302
American Islamic College,Chicago,IL,60613
School of the Art Institute of Chicago,Chicago,IL,60603
Augustana College,Rock Island,IL,61201-2296
Aurora University,Aurora,IL,60506-4892
Tricoci University of Beauty Culture-Urbana,Urbana,IL,61801
Southwestern Illinois College,Belleville,IL,62221-5899
Bethany Theological Seminary,Richmond,IN,47374-4019
Black Hawk College,Moline,IL,61265-5899
Blackburn College,Carlinville,IL,62626
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,62305-7005
Blessing Hospital School of Radiologic Technology,Quincy,IL,62305-7005
Bradley University,Peoria,IL,61625-0001
Paul Mitchell The School Tinley Park,Tinley Park,IL,60477-6273
Cameo Beauty Academy,Oak Lawn,IL,60453
Cannella School of Hair Design-Villa Park,Villa Park,IL,60181
Cannella School of Hair Design-Chicago,Chicago,IL,60617-4303
Cannella School of Hair Design-Chicago,Chicago,IL,60632-2549
Empire Beauty School-Hanover Park,Hanover Park,IL,60133-5421
Capri Beauty College,Oak Forest,IL,60452
Carl Sandburg College,Galesburg,IL,61401
Catholic Theological Union at Chicago,Chicago,IL,60615-5698
Midwestern University-Downers Grove,Downers Grove,IL,60515-5514
The Chicago School of Professional Psychology at Chicago,Chicago,IL,60654
Chicago State University,Chicago,IL,60628-1598
Chicago Theological Seminary,Chicago,IL,60637
University of Chicago,Chicago,IL,60637
City Colleges of Chicago-Kennedy-King College,Chicago,IL,60621-2709
City Colleges of Chicago-Malcolm X College,Chicago,IL,60612-3197
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,60628-1696
City Colleges of Chicago-Harry S Truman College,Chicago,IL,60640-6063
City Colleges of Chicago-Richard J Daley College,Chicago,IL,60652-1299
City Colleges of Chicago-Harold Washington College,Chicago,IL,60601-2449
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,60634-1500
Columbia College Chicago,Chicago,IL,60605-1996
Concordia University-Chicago,River Forest,IL,60305-1499
Coyne College,Chicago,IL,60602-3304
Danville Area Community College,Danville,IL,61832-5118
Tricoci University of Beauty Culture,Urbana,IL,61801
DePaul University,Chicago,IL,60604
Cosmetology & Spa Academy,Crystal Lake,IL,60014
College of DuPage,Glen Ellyn,IL,60137-6599
East-West University,Chicago,IL,60605
